ID;d_visi;J?su dzimums;Vecums;Vecums;Dzimšanas gads;J?su ?imenes st?voklis;Cik cilv?ku dz?vo J?su m?jsaimniec?b?, ieskaitot J?s;Vai J?su ?imen? ir b?rni vecum? l?dz 18 gadiem (ieskaitot), kuri dz?vo kop? ar Jums?;J?s dz?vojat…;K?da ir J?su izgl?t?ba?;Izgl?t?ba;K?da ir J?su taut?ba?;Taut?ba;K?d? valod? galvenok?rt J?s run?jat ?imen??;Vai Jums ir LR pilson?ba?;K?d? sektor? J?s str?d?jat:;Pamatnodarbošan?s (Zemnieks pie pašnodarbin?t?);Pamatnodarbošan?s;M?neša vid?jie ien?kumi uz vienu ?imenes locekli (kop?jais);M?neša vid?jie ien?kumi uz vienu ?imenes locekli (kvintiles);Re?ions;Re?ions (v?l?š. apg.);Novads;L?dzu, atz?m?jiet, kur? pils?t? vai pagast? J?s dz?vojat. Ja Jums ir vair?kas dz?vesvietas, l?dzu, atz?m?jiet to, kur J?s dz?vojat visbiež?k.;Apdz?vota vieta;K?d? valod? notika intervija?;Intervijas beigu laiks;Intervijas s?kuma laiks;Intervijas datums;Intervijas garums (min);Apdz?vota vieta;Vai ?imen?, kur? J?s uzaug?t, bija k?das ar dzied?šanu saist?tas trad?cijas (š?pu?dziesmas, jubil?ra apsveikšana dziedot, dzied?šana savies?gos m?jas pas?kumos, m?jas ball?t?s, vec?ki dzied?ja kor? u.tml.)?;L?dzu, atz?m?jiet visus apgalvojumus, kuri raksturo J?su dzied?šanas paradumus. - Dziedu kor?;Dungoju ik uz so?a;M?dzu dzied?t l?dzi vai k? dal?bnieks Dziesmu sv?tku koncertos;M?dzu dzied?t l?dzi citos koncertos;M?dzu dzied?t pie J??u ugunskura;Dziedu l?dzi, kad svin?gos br?žos tiek dzied?ta valsts himna;M?dzu dzied?t, apsveicot jubil?ru;Dažk?rt m?dzu dzied?t ball?t?s, savies?gos pas?kumos;M?dzu dzied?t duš?;Dažk?rt dziedu vienatn?, attiec?g? garast?vokl?, kad sp?l? dziesmu, kura man pat?k;M?dzu dzied?t bazn?c?, Dievkalpojumos;M?dzu dzied?t, braucot automaš?n?;M?dzu dzied?t b?rniem/ kop? ar b?rniem;M?dzu dzied?t cit?s situ?cij?s;Nekad nedziedu;Cik labi J?s p?rzin?t latviešu tautasdziesmas?;Kuras tr?s no š?m tautasdziesm?m Jums pat?k vislab?k? - Skaisti dziedi lakst?gala;Tumša nakte, za?a z?le;?vu, ?vu baltas k?jas;R?ga dimd;Kur tu skriesi, vanadzi?(i);Kraukl?t’s s?ž ozol?;P?t, v?ji?i;Neviena;Gr?ti pateikt;Vai J?s piekr?tat apgalvojumam, ka latvieši ir dzied?t?ju tauta?;Vai J?s piekr?tat apgalvojumam, ka m?su dien?s latvieši ir maz?k? m?r? dzied?t?ju tauta, nek? pusi gadsimta atpaka??;Vai, J?supr?t, dzied?tprasme ir apg?stama?;Vai J?s v?l?tos iem?c?ties dzied?t lab?k?;Cik Jums ir svar?gi, lai b?rni Latvij? turpina dzied?šanas trad?cijas?;weight
12;Visi respondenti;Sieviete;60.00;55 - 63;1958;Neprec?jies (-usies);2;N?;Savrupm?ja, priv?tm?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;13.03.2018 18:59;13.03.2018 18:49;13-MAR-2018;12:09:56 priekšp.;R?ga;J?;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;0;1;1;0;0;0;1;0;0;Dr?z?k piekr?tu;Dr?z?k nepiekr?tu;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;0.774694662
594;Visi respondenti;Sieviete;66.00;64 - 75;1952;Atraitnis (-e);1;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;14.03.2018 08:37;14.03.2018 08:30;14-MAR-2018;12:07:23 priekšp.;R?ga;J?;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;1;0;1;0;0;0;0;0;Piln?b? piekr?tu;Dr?z?k piekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;Gr?ti pateikt;Tas ir dr?z?k svar?gi;0.804283805
764;Visi respondenti;V?rietis;68.00;64 - 75;1950;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Savrupm?ja, priv?tm?ja;Vid?j?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;525.00;Eur 500 - Eur 699;Pier?ga;Zemgale;Engures novads;Engures pagasts;Lauki;LAT;14.03.2018 10:11;14.03.2018 10:00;14-MAR-2018;12:11:00 priekšp.;Lauku teritorija;J?;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;1;1;1;0;0;0;0;0;0;Piln?b? piekr?tu;Dr?z?k nepiekr?tu;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;0.902481256
17;Visi respondenti;Sieviete;75.00;64 - 75;1943;Atraitnis (-e);1;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;300.00;Eur 251 - Eur 350;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;13.03.2018 19:09;13.03.2018 18:59;13-MAR-2018;12:09:14 priekšp.;R?ga;J?;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;0;1;0;1;0;0;1;0;0;Piln?b? piekr?tu;Dr?z?k nepiekr?tu;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;0.804283805
1137;Visi respondenti;Sieviete;68.00;64 - 75;1950;Atraitnis (-e);2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Krievs (-iete);Cits (-ta);Krievu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;455.00;Eur 351 - Eur 499;Pier?ga;Vidzeme;J?rmala;J?rmala;Cita pils?ta;RUS;14.03.2018 17:32;14.03.2018 17:23;14-MAR-2018;12:09:11 priekšp.;Liel?s pils?tas;J?;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;1;0;1;0;0;1;0;0;Dr?z?k piekr?tu;Dr?z?k piekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;N?;Tas ir dr?z?k svar?gi;1.032269538
1583;Visi respondenti;V?rietis;31.00;25 - 34;1987;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;Kurzeme;Kurzeme;Liep?ja;Liep?ja;Cita pils?ta;LAT;16.03.2018 14:24;16.03.2018 14:15;16-MAR-2018;12:08:59 priekšp.;Liel?s pils?tas;N?;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;0;0;0;0;0;0;0;1;0;Gr?ti pateikt;Piln?b? piekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;N?;Tas dr?z?k nav svar?gi;1.006261839
63;Visi respondenti;Sieviete;55.00;55 - 63;1963;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dv??u m?ja, rindu m?ja;Augst?k?;Augst?k?;Lietuvietis (-te);Cits (-ta);Latviešu;J?;Priv?taj? sektor?;Ir savs uz??mums, individu?lais darbs;Str?d?jošie;1000.00;Eur 700 un vair?k;Pier?ga;Vidzeme;Ikš?iles novads;Ikš?iles pils?ta;Cita pils?ta;LAT;13.03.2018 19:59;13.03.2018 19:46;13-MAR-2018;12:13:32 priekšp.;Cita pils?ta;J?;0;1;0;0;1;1;1;1;0;1;0;0;1;1;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;0;1;1;0;0;0;1;0;0;Piln?b? piekr?tu;Dr?z?k nepiekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;0.99429293
299;Visi respondenti;Sieviete;24.00;18 - 24;1994;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;13.03.2018 22:04;13.03.2018 21:54;13-MAR-2018;12:10:05 priekšp.;R?ga;N?;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;0;1;0;0;0;1;1;0;0;Dr?z?k piekr?tu;Gr?ti pateikt;Da??ji, bet ne piln?b?;N?;Tas ir dr?z?k svar?gi;1.216039779
677;Visi respondenti;Sieviete;36.00;35 - 44;1982;Š??ries (-usies) vai nedz?vo kop? ar v?ru/ sievu;3;J?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;Zemgale;Zemgale;Skr?veru novads;Skr?veru novads;Lauki;LAT;14.03.2018 09:25;14.03.2018 09:16;14-MAR-2018;12:08:45 priekšp.;Lauku teritorija;J?;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;?oti labi p?rzinu;0;1;0;0;0;1;1;0;0;Piln?b? piekr?tu;Piln?ba nepiekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;0.935700489
779;Visi respondenti;Sieviete;31.00;25 - 34;1987;Prec?jies (-usies) vai dz?vo ar partneri;3;N?;Savrupm?ja, priv?tm?ja;Augst?k?;Augst?k?;Krievs (-iete);Cits (-ta);Krievu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Augst?k? vai vid?j? l?me?a vad?t?js;Str?d?jošie;600.00;Eur 500 - Eur 699;Pier?ga;Vidzeme;Bab?tes novads;Bab?tes pagasts;Lauki;LAT;14.03.2018 10:24;14.03.2018 10:12;14-MAR-2018;12:11:34 priekšp.;Lauku teritorija;J?;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;0;0;0;0;0;1;0;0;Dr?z?k piekr?tu;Dr?z?k nepiekr?tu;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;1.311978639
1306;Visi respondenti;Sieviete;38.00;35 - 44;1980;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Vid?j?;Vid?j?, vid?j? profesion?l?;Krievs (-iete);Cits (-ta);Krievu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Augst?k? vai vid?j? l?me?a vad?t?js;Str?d?jošie;300.00;Eur 251 - Eur 350;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;15.03.2018 08:36;15.03.2018 08:20;15-MAR-2018;12:15:34 priekšp.;R?ga;N?;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;1;0;0;1;0;0;0;0;0;Piln?b? piekr?tu;Piln?b? piekr?tu;Da??ji, bet ne piln?b?;N?;Tas nemaz nav svar?gi;0.953950674
1601;Visi respondenti;V?rietis;32.00;25 - 34;1986;Prec?jies (-usies) vai dz?vo ar partneri;5;J?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Augst?k? vai vid?j? l?me?a vad?t?js;Str?d?jošie;300.00;Eur 251 - Eur 350;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;16.03.2018 20:38;16.03.2018 20:32;16-MAR-2018;12:06:44 priekšp.;R?ga;J?;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;0;0;1;0;0;0;0;0;0;Piln?b? piekr?tu;Piln?b? piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;1.063865976
512;Visi respondenti;Sieviete;48.00;45 - 54;1970;Neprec?jies (-usies);1;N?;Dz?vokl? daudzdz?vok?u m?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Augst?k? vai vid?j? l?me?a vad?t?js;Str?d?jošie;850.00;Eur 700 un vair?k;Vidzeme;Vidzeme;Madonas novads;Madonas pils?ta;Cita pils?ta;LAT;14.03.2018 07:37;14.03.2018 07:30;14-MAR-2018;12:06:22 priekšp.;Cita pils?ta;N?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;0;0;0;0;0;0;0;0;1;Dr?z?k nepiekr?tu;Piln?b? piekr?tu;Da??ji, bet ne piln?b?;N?;Tas ir dr?z?k svar?gi;0.982618554
338;Visi respondenti;Sieviete;67.00;64 - 75;1951;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;600.00;Eur 500 - Eur 699;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;13.03.2018 22:20;13.03.2018 22:11;13-MAR-2018;12:09:24 priekšp.;R?ga;J?;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;0;1;1;0;0;0;1;0;0;Piln?b? piekr?tu;Dr?z?k piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;0.804283805
