ID,d_visi,Jūsu dzimums,Vecums,Vecums,Dzimšanas gads,Jūsu ģimenes stāvoklis,"Cik cilvēku dzīvo Jūsu mājsaimniecībā, ieskaitot Jūs","Vai Jūsu ģimenē ir bērni vecumā līdz 18 gadiem (ieskaitot), kuri dzīvo kopā ar Jums?",Jūs dzīvojat…,Kāda ir Jūsu izglītība?,Izglītība,Kāda ir Jūsu tautība?,Tautība,Kādā valodā galvenokārt Jūs runājat ģimenē?,Vai Jums ir LR pilsonība?,Kādā sektorā Jūs strādājat:,Pamatnodarbošanās (Zemnieks pie pašnodarbinātā),Pamatnodarbošanās,Mēneša vidējie ienākumi uz vienu ģimenes locekli (kopējais),Mēneša vidējie ienākumi uz vienu ģimenes locekli (kvintiles),Reģions,Reģions (vēlēš. apg.),Novads,"Lūdzu, atzīmējiet, kurā pilsētā vai pagastā Jūs dzīvojat. Ja Jums ir vairākas dzīvesvietas, lūdzu, atzīmējiet to, kur Jūs dzīvojat visbiežāk.",Apdzīvota vieta,Kādā valodā notika intervija?,Intervijas beigu laiks,Intervijas sākuma laiks,Intervijas datums,Intervijas garums (min),Apdzīvota vieta,"Vai ģimenē, kurā Jūs uzaugāt, bija kādas ar dziedāšanu saistītas tradīcijas (šūpuļdziesmas, jubilāra apsveikšana dziedot, dziedāšana saviesīgos mājas pasākumos, mājas ballītēs, vecāki dziedāja korī u.tml.)?","Lūdzu, atzīmējiet visus apgalvojumus, kuri raksturo Jūsu dziedāšanas paradumus. - Dziedu korī",Dungoju ik uz soļa,Mēdzu dziedāt līdzi vai kā dalībnieks Dziesmu svētku koncertos,Mēdzu dziedāt līdzi citos koncertos,Mēdzu dziedāt pie Jāņu ugunskura,"Dziedu līdzi, kad svinīgos brīžos tiek dziedāta valsts himna","Mēdzu dziedāt, apsveicot jubilāru","Dažkārt mēdzu dziedāt ballītēs, saviesīgos pasākumos",Mēdzu dziedāt dušā,"Dažkārt dziedu vienatnē, attiecīgā garastāvoklī, kad spēlē dziesmu, kura man patīk","Mēdzu dziedāt baznīcā, Dievkalpojumos","Mēdzu dziedāt, braucot automašīnā",Mēdzu dziedāt bērniem/ kopā ar bērniem,Mēdzu dziedāt citās situācijās,Nekad nedziedu,Cik labi Jūs pārzināt latviešu tautasdziesmas?,Kuras trīs no šīm tautasdziesmām Jums patīk vislabāk? - Skaisti dziedi lakstīgala,"Tumša nakte, zaļa zāle","Āvu, āvu baltas kājas",Rīga dimd,"Kur tu skriesi, vanadziņ(i)",Krauklīt’s sēž ozolā,"Pūt, vējiņi",Neviena,Grūti pateikt,"Vai Jūs piekrītat apgalvojumam, ka latvieši ir dziedātāju tauta?","Vai Jūs piekrītat apgalvojumam, ka mūsu dienās latvieši ir mazākā mērā dziedātāju tauta, nekā pusi gadsimta atpakaļ?","Vai, Jūsuprāt, dziedātprasme ir apgūstama?",Vai Jūs vēlētos iemācīties dziedāt labāk?,"Cik Jums ir svarīgi, lai bērni Latvijā turpina dziedāšanas tradīcijas?",weight
12,Visi respondenti,Sieviete,60.00,55 - 63,1958,Neprecējies (-usies),2,Nē,"Savrupmāja, privātmāja",Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,"Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,Grūti pateikt/NA,Grūti pateikt/ nevēlos atbildēt,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,13.03.2018 18:59,13.03.2018 18:49,13-MAR-2018,12:09:56 priekšp.,Rīga,Jā,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Populārākajām dziesmām varu nodziedāt dažus pantus,0,1,1,0,0,0,1,0,0,Drīzāk piekrītu,Drīzāk nepiekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,0.774694662
594,Visi respondenti,Sieviete,66.00,64 - 75,1952,Atraitnis (-e),1,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,"Publiskajā sektorā (valsts, pašvaldības)","Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,Grūti pateikt/NA,Grūti pateikt/ nevēlos atbildēt,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,14.03.2018 08:37,14.03.2018 08:30,14-MAR-2018,12:07:23 priekšp.,Rīga,Jā,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,0,1,0,1,0,0,0,0,0,Pilnībā piekrītu,Drīzāk piekrītu,"Nē, viss atkarīgs no iedzimtām spējām",Grūti pateikt,Tas ir drīzāk svarīgi,0.804283805
764,Visi respondenti,Vīrietis,68.00,64 - 75,1950,Precējies (-usies) vai dzīvo ar partneri,2,Nē,"Savrupmāja, privātmāja",Vidējā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Jā,Nestrādā,Pensionārs (-e),Nestrādājošie,525.00,Eur 500 - Eur 699,Pierīga,Zemgale,Engures novads,Engures pagasts,Lauki,LAT,14.03.2018 10:11,14.03.2018 10:00,14-MAR-2018,12:11:00 priekšp.,Lauku teritorija,Jā,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,Populārākajām dziesmām varu nodziedāt dažus pantus,1,1,1,0,0,0,0,0,0,Pilnībā piekrītu,Drīzāk nepiekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,0.902481256
17,Visi respondenti,Sieviete,75.00,64 - 75,1943,Atraitnis (-e),1,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Nestrādā,Pensionārs (-e),Nestrādājošie,300.00,Eur 251 - Eur 350,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,13.03.2018 19:09,13.03.2018 18:59,13-MAR-2018,12:09:14 priekšp.,Rīga,Jā,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Populārākajām dziesmām varu nodziedāt dažus pantus,0,1,0,1,0,0,1,0,0,Pilnībā piekrītu,Drīzāk nepiekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,0.804283805
1137,Visi respondenti,Sieviete,68.00,64 - 75,1950,Atraitnis (-e),2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Krievs (-iete),Cits (-ta),Krievu,Jā,Nestrādā,Pensionārs (-e),Nestrādājošie,455.00,Eur 351 - Eur 499,Pierīga,Vidzeme,Jūrmala,Jūrmala,Cita pilsēta,RUS,14.03.2018 17:32,14.03.2018 17:23,14-MAR-2018,12:09:11 priekšp.,Lielās pilsētas,Jā,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,0,1,0,1,0,0,1,0,0,Drīzāk piekrītu,Drīzāk piekrītu,"Nē, viss atkarīgs no iedzimtām spējām",Nē,Tas ir drīzāk svarīgi,1.032269538
1583,Visi respondenti,Vīrietis,31.00,25 - 34,1987,Precējies (-usies) vai dzīvo ar partneri,2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,"Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,Grūti pateikt/NA,Grūti pateikt/ nevēlos atbildēt,Kurzeme,Kurzeme,Liepāja,Liepāja,Cita pilsēta,LAT,16.03.2018 14:24,16.03.2018 14:15,16-MAR-2018,12:08:59 priekšp.,Lielās pilsētas,Nē,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Dziesmas atpazīstu, bet pats nodziedāt nemācētu",0,0,0,0,0,0,0,1,0,Grūti pateikt,Pilnībā piekrītu,"Nē, viss atkarīgs no iedzimtām spējām",Nē,Tas drīzāk nav svarīgi,1.006261839
63,Visi respondenti,Sieviete,55.00,55 - 63,1963,Precējies (-usies) vai dzīvo ar partneri,2,Nē,"Dvīņu māja, rindu māja",Augstākā,Augstākā,Lietuvietis (-te),Cits (-ta),Latviešu,Jā,Privātajā sektorā,"Ir savs uzņēmums, individuālais darbs",Strādājošie,1000.00,Eur 700 un vairāk,Pierīga,Vidzeme,Ikšķiles novads,Ikšķiles pilsēta,Cita pilsēta,LAT,13.03.2018 19:59,13.03.2018 19:46,13-MAR-2018,12:13:32 priekšp.,Cita pilsēta,Jā,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,Populārākajām dziesmām varu nodziedāt dažus pantus,0,1,1,0,0,0,1,0,0,Pilnībā piekrītu,Drīzāk nepiekrītu,Jā,"Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,0.99429293
299,Visi respondenti,Sieviete,24.00,18 - 24,1994,Precējies (-usies) vai dzīvo ar partneri,2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,"Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,Grūti pateikt/NA,Grūti pateikt/ nevēlos atbildēt,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,13.03.2018 22:04,13.03.2018 21:54,13-MAR-2018,12:10:05 priekšp.,Rīga,Nē,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Dziesmas atpazīstu, bet pats nodziedāt nemācētu",0,1,0,0,0,1,1,0,0,Drīzāk piekrītu,Grūti pateikt,"Daļēji, bet ne pilnībā",Nē,Tas ir drīzāk svarīgi,1.216039779
677,Visi respondenti,Sieviete,36.00,35 - 44,1982,Šķīries (-usies) vai nedzīvo kopā ar vīru/ sievu,3,Jā,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,"Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,Grūti pateikt/NA,Grūti pateikt/ nevēlos atbildēt,Zemgale,Zemgale,Skrīveru novads,Skrīveru novads,Lauki,LAT,14.03.2018 09:25,14.03.2018 09:16,14-MAR-2018,12:08:45 priekšp.,Lauku teritorija,Jā,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,Ļoti labi pārzinu,0,1,0,0,0,1,1,0,0,Pilnībā piekrītu,Pilnība nepiekrītu,Jā,"Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,0.935700489
779,Visi respondenti,Sieviete,31.00,25 - 34,1987,Precējies (-usies) vai dzīvo ar partneri,3,Nē,"Savrupmāja, privātmāja",Augstākā,Augstākā,Krievs (-iete),Cits (-ta),Krievu,Jā,"Publiskajā sektorā (valsts, pašvaldības)",Augstākā vai vidējā līmeņa vadītājs,Strādājošie,600.00,Eur 500 - Eur 699,Pierīga,Vidzeme,Babītes novads,Babītes pagasts,Lauki,LAT,14.03.2018 10:24,14.03.2018 10:12,14-MAR-2018,12:11:34 priekšp.,Lauku teritorija,Jā,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,0,0,0,0,0,0,1,0,0,Drīzāk piekrītu,Drīzāk nepiekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir drīzāk svarīgi,1.311978639
1306,Visi respondenti,Sieviete,38.00,35 - 44,1980,Precējies (-usies) vai dzīvo ar partneri,4,Jā,Dzīvoklī daudzdzīvokļu māja,Vidējā,"Vidējā, vidējā profesionālā",Krievs (-iete),Cits (-ta),Krievu,Jā,"Publiskajā sektorā (valsts, pašvaldības)",Augstākā vai vidējā līmeņa vadītājs,Strādājošie,300.00,Eur 251 - Eur 350,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,15.03.2018 08:36,15.03.2018 08:20,15-MAR-2018,12:15:34 priekšp.,Rīga,Nē,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,1,0,0,1,0,0,0,0,0,Pilnībā piekrītu,Pilnībā piekrītu,"Daļēji, bet ne pilnībā",Nē,Tas nemaz nav svarīgi,0.953950674
1601,Visi respondenti,Vīrietis,32.00,25 - 34,1986,Precējies (-usies) vai dzīvo ar partneri,5,Jā,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,Augstākā vai vidējā līmeņa vadītājs,Strādājošie,300.00,Eur 251 - Eur 350,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,16.03.2018 20:38,16.03.2018 20:32,16-MAR-2018,12:06:44 priekšp.,Rīga,Jā,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Dziesmas atpazīstu, bet pats nodziedāt nemācētu",0,0,1,0,0,0,0,0,0,Pilnībā piekrītu,Pilnībā piekrītu,Jā,"Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,1.063865976
512,Visi respondenti,Sieviete,48.00,45 - 54,1970,Neprecējies (-usies),1,Nē,Dzīvoklī daudzdzīvokļu māja,Profesionālā vidējā/ vidējā speciālā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Jā,"Publiskajā sektorā (valsts, pašvaldības)",Augstākā vai vidējā līmeņa vadītājs,Strādājošie,850.00,Eur 700 un vairāk,Vidzeme,Vidzeme,Madonas novads,Madonas pilsēta,Cita pilsēta,LAT,14.03.2018 07:37,14.03.2018 07:30,14-MAR-2018,12:06:22 priekšp.,Cita pilsēta,Nē,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Dziesmas atpazīstu, bet pats nodziedāt nemācētu",0,0,0,0,0,0,0,0,1,Drīzāk nepiekrītu,Pilnībā piekrītu,"Daļēji, bet ne pilnībā",Nē,Tas ir drīzāk svarīgi,0.982618554
338,Visi respondenti,Sieviete,67.00,64 - 75,1951,Precējies (-usies) vai dzīvo ar partneri,2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Nestrādā,Pensionārs (-e),Nestrādājošie,600.00,Eur 500 - Eur 699,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,13.03.2018 22:20,13.03.2018 22:11,13-MAR-2018,12:09:24 priekšp.,Rīga,Jā,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,Populārākajām dziesmām varu nodziedāt dažus pantus,0,1,1,0,0,0,1,0,0,Pilnībā piekrītu,Drīzāk piekrītu,Jā,"Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir drīzāk svarīgi,0.804283805
601,Visi respondenti,Sieviete,75.00,64 - 75,1943,Precējies (-usies) vai dzīvo ar partneri,2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,"Publiskajā sektorā (valsts, pašvaldības)","Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,800.00,Eur 700 un vairāk,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,14.03.2018 08:48,14.03.2018 08:33,14-MAR-2018,12:15:28 priekšp.,Rīga,Jā,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,"Dziesmas atpazīstu, bet pats nodziedāt nemācētu",0,1,0,1,0,0,1,0,0,Pilnībā piekrītu,Drīzāk nepiekrītu,Jā,"Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,0.804283805
